City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Omboue,GA,-1.5746,9.2618,75.04,91,100,5.79,light rain
227,Iralaya,HN,15.0,-83.2333,80.56,78,100,14.72,overcast clouds
228,Labuhan,ID,-6.8844,112.2051,86.18,65,43,4.9,scattered clouds
229,Touros,BR,-5.1989,-35.4608,76.46,82,100,15.03,overcast clouds
230,Mayo,US,38.8876,-76.5119,59.11,86,100,11.01,light rain
231,Qaqortoq,GL,60.7167,-46.0333,36.3,95,100,15.48,light rain
232,Kaniama,CD,-7.5667,24.1833,65.73,91,67,2.59,broken clouds
233,Ono,JP,34.85,134.9333,79.81,55,0,4.63,clear sky
234,Mitsamiouli,KM,-11.3847,43.2844,74.07,75,10,2.17,clear sky
235,Bida,NG,9.0833,6.0167,72.57,92,100,3.29,overcast clouds
236,Charleston,US,32.7766,-79.9309,61.02,91,100,13.8,overcast clouds
237,Tirumullaivasal,IN,11.2333,79.8333,79.83,74,100,7.83,overcast clouds
238,Mount Gambier,AU,-37.8333,140.7667,64.71,52,0,3.2,clear sky
239,Palm Coast,US,29.585,-81.2078,72.0,78,24,7.07,few clouds
240,Axim,GH,4.8699,-2.2405,75.13,91,55,11.21,light rain
241,Ca Mau,VN,9.1769,105.15,81.99,77,100,6.22,overcast clouds
242,Kuhdasht,IR,33.535,47.6061,66.18,19,0,3.49,clear sky
243,Yekaterinoslavka,RU,50.3734,129.1139,45.55,52,8,8.34,clear sky
244,Carutapera,BR,-1.195,-46.02,79.02,76,35,8.97,scattered clouds
245,Caala,AO,-12.8525,15.5606,62.56,72,55,2.08,broken clouds
246,Ayagoz,KZ,47.9714,80.4392,24.22,74,7,13.87,clear sky
247,Kanigoro,ID,-8.13,112.219,82.38,74,82,8.97,broken clouds
248,Viedma,AR,-40.8135,-62.9967,60.73,47,100,12.91,overcast clouds
249,Harrisburg,US,40.2737,-76.8844,57.97,65,100,8.05,light rain
250,Dingle,PH,10.9995,122.6711,85.57,72,81,8.19,broken clouds
251,Svetlaya,RU,46.5389,138.3297,65.66,65,54,7.0,broken clouds
252,Hithadhoo,MV,-0.6,73.0833,81.28,73,94,11.01,overcast clouds
253,Horta,PT,38.5333,-28.6333,69.03,70,33,10.96,scattered clouds
254,Sorland,NO,67.667,12.6934,48.06,59,8,16.28,clear sky
255,Iqaluit,CA,63.7506,-68.5145,33.53,69,100,11.5,overcast clouds
256,Mundwa,IN,27.0667,73.8167,79.79,54,4,11.27,clear sky
257,Salalah,OM,17.0151,54.0924,78.89,89,75,4.61,broken clouds
258,Namibe,AO,-15.1961,12.1522,67.46,89,43,7.92,scattered clouds
259,Sioux Lookout,CA,50.1001,-91.917,48.27,87,75,4.61,broken clouds
260,Zyryanka,RU,65.75,150.85,31.68,64,100,16.82,overcast clouds
261,Bastia,FR,42.6667,9.3333,62.4,88,20,3.44,few clouds
262,Galveston,US,29.3669,-94.9669,75.94,59,0,6.91,clear sky
263,Mendoza,AR,-32.8908,-68.8272,65.73,42,0,0.0,clear sky
264,Nuuk,GL,64.1835,-51.7216,34.41,93,75,4.61,broken clouds
265,Tigil,RU,57.8,158.6667,42.8,81,95,10.07,light rain
266,Kontagora,NG,10.3999,5.4695,71.91,92,100,2.39,overcast clouds
267,Mao,ES,39.8885,4.2658,57.76,77,0,3.44,clear sky
268,Marzuq,YE,14.4,46.4667,73.13,37,91,4.97,overcast clouds
269,Vardo,NO,70.3705,31.1107,42.78,81,100,9.22,overcast clouds
270,Severo-Kurilsk,RU,50.6789,156.125,49.68,74,86,11.72,overcast clouds
271,Colares,PT,38.7992,-9.4469,61.32,88,8,23.0,clear sky
272,Pevek,RU,69.7008,170.3133,33.44,79,100,4.12,overcast clouds
